iter	Passed	Remaining
0	2	260
1	5	246
2	6	221
3	11	277
4	14	273
5	18	288
6	25	333
7	26	309
8	29	300
9	31	282
10	33	274
11	36	265
12	37	252
13	40	250
14	43	243
15	46	245
16	51	249
17	53	245
18	57	243
19	60	240
20	63	238
21	69	247
22	72	243
23	74	235
24	76	230
25	81	231
26	85	231
27	87	226
28	89	219
29	92	216
30	95	211
31	97	207
32	99	202
33	102	199
34	108	200
35	110	197
36	113	193
37	116	190
38	119	186
39	121	181
40	126	181
41	127	176
42	129	171
43	131	167
44	133	162
45	137	161
46	140	157
47	141	153
48	144	149
49	146	146
50	150	144
51	152	140
52	154	137
53	157	134
54	161	131
55	163	128
56	165	124
57	167	121
58	174	121
59	177	118
60	180	115
61	183	112
62	185	108
63	187	105
64	189	101
65	191	98
66	193	95
67	195	91
68	196	88
69	199	85
70	200	81
71	205	79
72	207	76
73	211	74
74	213	71
75	216	68
76	219	65
77	221	62
78	223	59
79	225	56
80	229	53
81	232	51
82	234	47
83	236	45
84	240	42
85	242	39
86	245	36
87	247	33
88	250	30
89	252	28
90	254	25
91	256	22
92	258	19
93	261	16
94	264	13
95	267	11
96	269	8
97	271	5
98	274	2
99	276	0
