iter	Passed	Remaining
0	154	154547
1	160	79852
2	165	54993
3	169	42268
4	176	35071
5	178	29633
6	181	25679
7	183	22706
8	187	20612
9	189	18746
10	190	17168
11	192	15846
12	193	14717
13	195	13752
14	196	12915
15	198	12212
16	200	11589
17	202	11054
18	204	10550
19	205	10085
20	207	9664
21	208	9286
22	210	8933
23	211	8614
24	213	8332
25	216	8110
26	217	7853
27	219	7610
28	220	7385
29	221	7176
30	223	6980
31	224	6795
32	226	6631
33	227	6469
34	230	6343
35	231	6199
36	232	6060
37	234	5929
38	235	5804
39	236	5685
40	238	5571
41	239	5467
42	241	5364
43	242	5266
44	245	5202
45	246	5113
46	247	5025
47	249	4942
48	250	4863
49	252	4793
50	253	4718
51	254	4647
52	256	4579
53	258	4530
54	259	4466
55	261	4404
56	262	4344
57	263	4285
58	265	4232
59	266	4178
60	268	4126
61	269	4075
62	270	4029
63	272	3989
64	274	3943
65	275	3898
66	276	3854
67	278	3818
68	279	3777
69	281	3740
70	282	3700
71	284	3663
72	286	3642
73	288	3608
74	289	3576
75	291	3544
76	293	3513
77	294	3483
78	295	3450
79	297	3418
80	298	3387
81	300	3361
82	301	3334
83	303	3306
84	304	3278
85	306	3254
86	307	3228
87	308	3202
88	310	3176
89	311	3151
90	313	3127
91	314	3102
92	316	3089
93	318	3067
94	319	3048
95	321	3029
96	323	3008
97	324	2989
98	326	2970
99	328	2952
100	331	2947
101	332	2931
102	334	2911
103	335	2893
104	337	2873
105	338	2854
106	339	2836
107	341	2818
108	342	2801
109	344	2783
110	346	2774
111	347	2757
112	349	2739
113	350	2722
114	351	2707
115	353	2691
116	354	2673
117	355	2658
118	357	2643
119	358	2627
120	360	2622
121	362	2605
122	363	2591
123	364	2577
124	366	2562
125	367	2549
126	368	2533
127	369	2520
128	371	2506
129	372	2493
130	375	2489
131	377	2479
132	378	2467
133	380	2456
134	381	2446
135	383	2434
136	384	2423
137	386	2411
138	387	2400
139	389	2395
140	391	2384
141	392	2370
142	393	2360
143	395	2349
144	396	2337
145	397	2327
146	399	2316
147	400	2305
148	401	2295
149	403	2288
150	405	2280
151	406	2270
152	408	2260
153	409	2250
154	410	2240
155	412	2230
156	413	2221
157	415	2214
158	417	2206
159	420	2209
160	422	2200
161	423	2193
162	426	2187
163	428	2185
164	431	2181
165	434	2181
166	435	2174
167	437	2166
168	438	2157
169	440	2150
170	442	2144
171	443	2135
172	445	2127
173	446	2119
174	448	2115
175	450	2110
176	452	2103
177	453	2096
178	455	2089
179	457	2082
